yes,yes,no,no,yes,yes,never,sometimes,yes,sometimes,always,no,always,always,sometimes,never,TRUE
yes,no,no,yes,yes,yes,sometimes,often,no,often,often,yes,never,sometimes,often,sometimes,TRUE
yes,yes,no,yes,yes,yes,often,sometimes,yes,always,often,yes,sometimes,sometimes,sometimes,often,TRUE
yes,yes,no,yes,no,no,always,sometimes,no,sometimes,always,no,never,sometimes,never,always,TRUE
yes,no,no,yes,yes,yes,sometimes,often,yes,sometimes,always,yes,sometimes,often,sometimes,sometimes,TRUE
no,yes,no,no,no,yes,sometimes,always,yes,often,often,yes,sometimes,sometimes,sometimes,sometimes,TRUE
no,yes,no,no,yes,yes,often,always,no,always,always,no,sometimes,never,sometimes,often,TRUE
no,yes,no,no,yes,no,always,sometimes,no,always,often,no,often,never,often,never,TRUE
no,yes,no,no,no,no,always,always,no,sometimes,often,no,always,always,sometimes,often,TRUE
no,yes,no,no,no,yes,often,sometimes,yes,sometimes,always,yes,sometimes,sometimes,always,sometimes,TRUE
no,no,yes,no,no,yes,sometimes,sometimes,no,sometimes,never,no,sometimes,never,sometimes,sometimes,TRUE
no,no,yes,no,yes,no,often,sometimes,yes,sometimes,sometimes,yes,sometimes,sometimes,often,often,TRUE
no,no,yes,no,no,yes,sometimes,sometimes,yes,often,often,yes,often,sometimes,always,always,TRUE
no,no,yes,yes,no,yes,often,often,yes,always,always,yes,always,often,always,sometimes,TRUE
no,no,yes,no,no,no,always,always,no,sometimes,always,no,never,always,never,never,TRUE
yes,yes,yes,no,yes,no,never,sometimes,no,sometimes,sometimes,no,sometimes,sometimes,sometimes,never,TRUE
yes,yes,yes,yes,no,no,never,never,no,never,never,no,never,never,never,never,TRUE
yes,yes,no,yes,no,no,never,never,no,never,never,no,never,never,never,never,TRUE
yes,no,yes,yes,no,no,never,never,no,never,never,no,never,never,never,never,TRUE
yes,yes,no,yes,no,no,never,never,no,never,never,no,never,never,never,never,TRUE
yes,no,yes,yes,no,no,never,never,no,never,never,no,never,never,never,never,TRUE
yes,yes,yes,yes,no,no,never,never,no,never,never,no,never,never,never,never,TRUE
yes,yes,no,no,yes,no,never,sometimes,no,often,always,no,sometimes,never,sometimes,never,TRUE
yes,no,yes,no,no,no,never,never,no,sometimes,always,no,sometimes,never,sometimes,never,TRUE
